<DTYYYYMMDD>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20181126;031500;1.13354;1.13354;1.13288;1.13293;399
20181126;033000;1.13293;1.13321;1.13260;1.13286;613
20181126;034500;1.13286;1.13330;1.13279;1.13301;665
20181126;040000;1.13301;1.13330;1.13301;1.13315;437
20181126;041500;1.13315;1.13329;1.13290;1.13322;294
20181126;043000;1.13322;1.13327;1.13296;1.13307;338
20181126;044500;1.13307;1.13316;1.13275;1.13283;257
20181126;050000;1.13283;1.13363;1.13283;1.13361;518
20181126;051500;1.13361;1.13364;1.13341;1.13356;264
20181126;053000;1.13356;1.13392;1.13349;1.13383;364
20181126;054500;1.13383;1.13399;1.13367;1.13370;308
20181126;060000;1.13369;1.13414;1.13367;1.13408;358
20181126;061500;1.13408;1.13408;1.13365;1.13375;227
20181126;063000;1.13375;1.13402;1.13369;1.13395;307
20181126;064500;1.13393;1.13456;1.13389;1.13453;385
20181126;070000;1.13453;1.13468;1.13426;1.13449;380
20181126;071500;1.13449;1.13454;1.13427;1.13436;287
20181126;073000;1.13436;1.13468;1.13423;1.13447;351
20181126;074500;1.13447;1.13491;1.13444;1.13473;475
20181126;080000;1.13473;1.13485;1.13437;1.13440;394
20181126;081500;1.13440;1.13487;1.13433;1.13482;339
20181126;083000;1.13482;1.13536;1.13471;1.13510;478
20181126;084500;1.13510;1.13539;1.13502;1.13522;369
20181126;090000;1.13521;1.13634;1.13502;1.13628;990
20181126;091500;1.13628;1.13667;1.13542;1.13658;952
20181126;093000;1.13659;1.13698;1.13589;1.13601;1360
20181126;094500;1.13602;1.13624;1.13551;1.13624;1035
20181126;100000;1.13623;1.13723;1.13569;1.13660;1973
20181126;101500;1.13662;1.13756;1.13639;1.13713;1388
20181126;103000;1.13713;1.13770;1.13690;1.13719;1358
20181126;104500;1.13719;1.13722;1.13668;1.13702;916
20181126;110000;1.13703;1.13798;1.13666;1.13740;1414
20181126;111500;1.13740;1.13815;1.13729;1.13781;982
20181126;113000;1.13781;1.13834;1.13757;1.13795;1072
20181126;114500;1.13795;1.13802;1.13736;1.13739;767
20181126;120000;1.13738;1.13761;1.13660;1.13676;947
20181126;121500;1.13676;1.13686;1.13614;1.13648;946
20181126;123000;1.13648;1.13663;1.13617;1.13624;612
20181126;124500;1.13624;1.13665;1.13597;1.13663;751
20181126;130000;1.13663;1.13705;1.13661;1.13675;701
20181126;131500;1.13675;1.13702;1.13656;1.13678;527
20181126;133000;1.13678;1.13684;1.13630;1.13666;754
20181126;134500;1.13666;1.13700;1.13624;1.13688;680
20181126;140000;1.13688;1.13705;1.13593;1.13657;830
20181126;141500;1.13657;1.13692;1.13628;1.13633;722
20181126;143000;1.13632;1.13661;1.13624;1.13657;570
20181126;144500;1.13657;1.13671;1.13542;1.13562;727
20181126;150000;1.13561;1.13632;1.13542;1.13630;830
20181126;151500;1.13629;1.13702;1.13580;1.13695;813
20181126;153000;1.13695;1.13751;1.13673;1.13702;732
20181126;154500;1.13701;1.13707;1.13616;1.13647;972
20181126;160000;1.13647;1.13664;1.13542;1.13625;1442
